"taxon_name","ISO3_Code","overlap"
"Misopates orontium","IRL",FALSE
"Nekemias arborea","CUB",FALSE
"Nepeta cataria","GBR",FALSE
"Nepeta cataria","SWE",FALSE
"Nonea lutea","CHE",FALSE
"Nonea versicolor","SWE",FALSE
"Onobrychis viciifolia","SWE",FALSE
"Oxybasis glauca","GBR",FALSE
"Parietaria officinalis","SWE",FALSE
"Peucedanum ostruthium","GBR",FALSE
"Phyllanthus reticulatus","EGY",FALSE
"Phyteuma nigrum","SWE",FALSE
"Pilea microphylla","IND",FALSE
"Portulaca pilosa","IND",FALSE
"Prunella laciniata","SWE",FALSE
"Psammophiliella muralis","SWE",FALSE
"Psidium guineense","CUB",FALSE
"Pteris multifida","CUB",FALSE
"Rubia tinctorum","NLD",FALSE
"Sagina apetala","SWE",FALSE
"Sagittaria latifolia","DEU",FALSE
"Salvia pratensis","SWE",FALSE
"Salvia verticillata","NLD",FALSE
"Salvia verticillata","SWE",FALSE
"Scandix pecten-veneris","GBR",FALSE
"Silene dichotoma","SWE",FALSE
"Silene gallica","GBR",FALSE
"Silene noctiflora","GBR",FALSE
"Silene noctiflora","NOR",FALSE
"Sisyrinchium montanum","CHE",FALSE
"Sisyrinchium montanum","SWE",FALSE
"Tanacetum cinerariifolium","CHE",FALSE
"Torilis arvensis","GBR",FALSE
"Turnera ulmifolia","IND",FALSE
"Typha laxmannii","SVN",FALSE
"Ulex europaeus","NOR",FALSE
"Vaccinium macrocarpon","CHE",FALSE
"Valeriana dentata","GBR",FALSE
"Valeriana dentata","IRL",FALSE
"Valeriana rimosa","GBR",FALSE
"Valeriana rimosa","IRL",FALSE
"Verbascum lychnitis","SWE",FALSE
"Veronica triphyllos","GBR",FALSE
"Vicia villosa","SWE",FALSE
"Viola alba","SWE",FALSE
"Xanthium spinosum","CHE",FALSE
"Xanthium strumarium","JPN",FALSE
"Adenostemma mauritianum","REU",NA
"Aeschynomene brevifolia","REU",NA
"Alysicarpus bupleurifolius","REU",NA
"Alysicarpus vaginalis","REU",NA
"Clitoria heterophylla","REU",NA
"Cyperus articulatus","REU",NA
"Glinus oppositifolius","REU",NA
"Najas madagascariensis","REU",NA
"Pleurolobus salicifolius","REU",NA
"Sida cordifolia","REU",NA
"Stictocardia tiliifolia","REU",NA
"Tephrosia pumila","REU",NA
"Typhonodorum lindleyanum","REU",NA
"Zaleya pentandra","REU",NA
