"species","native_area_km2","threatened_area_km2","ratio"
"Adonis annua",965604.492320111,65718.225333162,0.0680591545046121
"Adonis flammea",1019095.7894907,208477.334141835,0.204570891462541
"Adonis microcarpa",473274.407212576,0,0
"Adonis vernalis",2406608.38401915,711146.362287983,0.295497334344167
"Aegilops cylindrica",436458.173879266,16540.5088419476,0.0378971224090834
"Aegonychon purpurocaeruleum",1777208.49572876,29777.359996648,0.0167551303452651
"Aeluropus lagopoides",141430.290176011,15368.7685841475,0.108666740095216
"Aeonium cuneatum",2106.49039434623,2014.91339938201,0.956526269851495
"Aeonium haworthii",22195.2853424876,21942.7665213503,0.988622862142085
"Aeschynomene rudis",54148.7628966133,0,0
"Aeschynomene virginica",8502.31463868377,8399.12297356548,0.98786310910575
"Aesculus hippocastanum",517405.234067995,63793.7238278795,0.123295474470396
"Agalinis setacea",58378.8099749112,31086.5177259529,0.532496598325876
"Agastache scrophulariifolia",288386.98104063,143445.827881236,0.497407432761419
"Agrostemma githago",1368639.56678177,769497.664041901,0.562235436354731
"Agrostis canina",3199154.99442471,57932.1438367432,0.0181085767765875
"Agrostis hyemalis",541920.980738445,6020.43130543402,0.0111094265020526
"Agrostis scabra",844483.434247143,92443.6195646195,0.109467653023926
"Aira caryophyllea",1936913.27112038,58066.1276258729,0.0299786926403191
"Aira praecox",1542944.83142799,19006.014725658,0.0123180131515577
"Aira provincialis",24586.6174782709,3444.25692382086,0.140086651889583
"Aizoanthemopsis hispanica",239990.206594146,0,0
"Ajuga chamaepitys",2744821.84351303,281498.446248387,0.102556181164787
"Ajuga genevensis",3128039.01488919,405327.083853604,0.12957865356675
"Ajuga pyramidalis",1752537.65879204,305498.29639086,0.174317678629188
"Ajuga reptans",4598413.13986797,107613.499923147,0.0234023121998639
"Albizia chinensis",98977.9597017816,50802.5176743772,0.513271013339172
"Alcea biennis",190676.837411318,59838.3694115684,0.31382086164188
"Alcea rugosa",410250.979430221,2298.23122152557,0.00560201275989026
"Aldrovanda vesiculosa",268906.279248624,74395.4027223185,0.276659224656984
"Alisma gramineum",1048738.66282443,63423.80564214,0.0604762729652106
"Alisma lanceolatum",2129622.22428541,92191.4209012414,0.0432900351292005
"Alisma plantago-aquatica",7023145.65088375,79911.5042409449,0.0113783065613753
"Alkekengi officinarum",1912681.89310368,64580.2431831508,0.0337642361837584
"Alliaria petiolata",5577776.92532805,4312.68571521538,0.000773190784240934
"Allophylus cobbe",76427.8632060929,482.790165074776,0.00631693920020895
"Alloteropsis cimicina",88720.1288427946,411.567638239311,0.00463894319820678
"Alniaria alnifolia",89239.5595997173,467.832683130951,0.00524243603654486
"Alocasia macrorrhizos",161365.061093651,44348.9076941668,0.274835874591391
"Aloe arborescens",373001.718036705,0,0
"Aloe vera",18186.1725895737,229.061964630424,0.0125953915537867
"Alopecurus aequalis",5264511.43213187,110503.800916182,0.0209903240482534
"Alopecurus arundinaceus",1394559.1128816,33199.2362148127,0.0238062595612835
"Alopecurus geniculatus",3232146.53366807,79840.339857108,0.0247019555040097
"Alopecurus myosuroides",1186893.5513923,0,0
"Alopecurus pratensis",5466094.22944034,442.539623073352,8.09608478188753e-05
"Alopecurus rendlei",292476.096312903,44111.1317331751,0.150819613258183
"Alopecurus utriculatus",28625.1557953964,1178.25618927303,0.0411615642442206
"Alpinia conchigera",15192.4983437299,411.567638239311,0.0270901881262452
"Alpinia malaccensis",11467.5700490514,11467.5700490514,1
"Alpinia mutica",12074.910840316,482.790165074776,0.0399829175932979
"Alternanthera sessilis",1912177.33906062,0,0
"Althaea cannabina",1079566.89966315,836.096333274654,0.000774473850148178
"Althaea officinalis",3347038.27031566,586484.807992123,0.175225008089558
"Alysicarpus bupleurifolius",32569.0985307806,21607.6563370416,0.663440417812623
"Alysicarpus vaginalis",812271.397247414,24748.0291918246,0.0304676851550965
"Alyssum alyssoides",1988101.02135028,100680.745480894,0.0506416647844755
"Alyssum desertorum",873824.059614825,2714.7066852978,0.00310669711531452
"Alyssum montanum",498302.185727307,5000.77551456953,0.0100356282950486
"Amaranthus blitum",636618.306927767,359230.22604424,0.564278818461625
"Amaranthus graecizans",1516370.07584013,26393.8115042376,0.0174059168831952
"Ambrosia maritima",109524.564557479,6928.35192187543,0.0632584292835918
"Ambrosia psilostachya",1987417.38501283,8750.76570339858,0.00440308400710809
"Amethystea caerulea",471503.321237165,0,0
"Amherstia nobilis",16366.400601671,10855.2828414926,0.663266353164071
"Ammannia auriculata",287306.864492869,0,0
"Amorphophallus paeoniifolius",935205.227133243,359593.669089738,0.384507762207476
"Ampelocissus indica",13949.8965568821,13787.2690510484,0.988342027830055
"Ampelodesmos mauritanicus",272507.074624536,40380.211125978,0.148180413963984
"Amphibromus fluitans",129806.346141372,14024.7881087455,0.108043932562982
"Amphilophium crucigerum",738228.610335654,5361.28070168579,0.00726235833537819
"Anacyclus clavatus",905223.804661738,0,0
"Anagyris foetida",549429.335454056,57836.5288016425,0.105266546704947
"Anaphalis margaritacea",3669937.44604418,199768.672334562,0.0544338085516669
"Anarrhinum bellidifolium",678639.350688504,24334.3789282461,0.0358576008060216
"Anchusa arvensis",1829734.76383766,31843.5585944372,0.0174033740975927
"Anchusa ochroleuca",83226.5109998815,2604.24697454104,0.0312910747219086
"Anchusa ovata",5480.54593594384,4888.57509014981,0.8919868836585
"Anchusa stylosa",31451.1964722092,0,0
"Andrachne telephioides",263905.202087488,0,0
"Andrographis paniculata",449997.941310493,4786.69806082191,0.0106371554653828
"Andropogon distachyos",194981.505129279,245.581802526017,0.00125951331826672
"Androsace elongata",718028.804388235,71300.5088513372,0.0993003461916624
"Androsace filiformis",1667216.24495798,0,0
"Androsace maxima",1711236.86230484,50818.5739716273,0.0296969841469991
"Androsace occidentalis",404610.969811629,80864.2156392573,0.199856706003064
"Anemanthele lessoniana",66619.219790738,65268.3604298397,0.979722678152918
"Anemonastrum canadense",2673460.77165749,421770.630401267,0.157762041946768
"Anemonastrum dichotomum",1104260.63730003,14253.2276924604,0.0129074850728269
"Anemone hortensis",564109.926944529,0,0
"Anemonoides blanda",255626.056902664,26040.0535581148,0.101867758997785
"Anemonoides nemorosa",3370050.97728089,81966.468637985,0.0243220263404203
"Anemonoides ranunculoides",3068268.66670387,150383.701285451,0.0490125597270472
"Anemonoides sylvestris",1863255.59451374,300139.265043699,0.161083249086944
"Anethum graveolens",29978.6326672736,9063.9617893167,0.302347404897203
"Angiopteris evecta",96937.2343743678,411.567638239311,0.00424571260873663
"Aniseia martinicensis",147765.721925388,0,0
"Anisomeles indica",400199.911768389,71.2225268354511,0.000177967372658169
"Annona montana",399151.496648745,0,0
"Annona mucosa",352520.291930618,10797.3239270476,0.0306289429976209
"Anthemis arvensis",2642019.96527694,143071.857353145,0.0541524512431715
"Anthemis cotula",2177983.64004753,307429.661457274,0.141153338254903
"Anthemis ruthenica",720638.664744497,7479.21988429477,0.0103785992206601
"Anthemis secundiramea",15619.2054269367,60.3860597194145,0.00386614159099755
"Anthericum liliago",1537362.38759035,392105.843836784,0.255051019201379
"Anthriscus caucalis",1986525.67952358,127788.770709169,0.0643277718613816
"Anthriscus cerefolium",524533.543609997,30463.4178512486,0.0580771586914924
"Anthyllis vulneraria",4522219.89993912,68119.2398169402,0.0150632302993177
"Antidesma bunius",100447.467578186,0,0
"Antirrhinum tortuosum",156296.955379083,16869.1397579808,0.107930059911061
"Apera interrupta",695517.574483731,23202.3541123958,0.0333598387209963
"Apium graveolens",2161869.59247617,398889.726582134,0.184511465432683
"Apodytes dimidiata",463110.972836937,0,0
"Aposeris foetida",501839.147832045,52241.0075845712,0.104099107872021
"Aquarius cordifolius",747083.191898561,104008.513478935,0.139219453210583
"Aquilegia flabellata",403998.420908071,63281.9518828143,0.156639107005851
"Aquilegia pyrenaica",106386.689027343,442.539623073352,0.00415972737867245
"Aquilegia vulgaris",3184856.04484154,84004.0829492017,0.026376100447385
"Arabidopsis arenosa",1560615.34539926,30274.3865908523,0.019399006090836
"Arabidopsis halleri",461761.861913087,18.7195774262981,4.05394619398463e-05
"Araucaria araucana",192380.204171649,127199.395131053,0.661187546186202
"Arbutus andrachne",196046.858292249,1978.77114906762,0.0100933581201176
"Arbutus unedo",1704128.57194188,9150.26016816785,0.00536946584830802
"Arctium lappa",3704025.28674878,83866.8354674504,0.0226420796228054
"Arctium minus",3656604.68577432,76386.2544401283,0.0208899405334413
"Arctium tomentosum",5058329.19346729,30824.1494672298,0.00609374129051119
"Aremonia agrimonoides",350855.469721416,37854.0629563341,0.107890759082054
"Arenaria leptoclados",1738905.51893472,10429.6037509253,0.0059977978316583
"Argyranthemum foeniculaceum",2858.05097959384,2665.78619148978,0.932728705863959
"Argyreia nervosa",368156.261058932,364562.888511639,0.990239545194866
"Aria graeca",11192.5950082954,470.076444835455,0.0419988791238367
"Arisaema amurense",256643.950824591,2778.57117605469,0.0108265601707237
"Arisarum proboscideum",23674.7246998422,12032.4828187961,0.508241720710538
"Aristida adscensionis",2671978.41069807,24975.8945977411,0.00934734146718497
"Aristida dichotoma",124497.513254764,17131.1461153696,0.137602315640742
"Aristolochia clematitis",2807391.1369856,96829.1317678857,0.0344907877253807
"Aristolochia rotunda",485476.063345274,14620.876278785,0.0301165750130641
"Armeria maritima",2365208.5893157,89300.352050481,0.0377558040562999
"Arnoseris minima",1209477.47519533,454706.141787758,0.375952550678401
"Artabotrys hexapetalus",156502.130008195,23716.7358041256,0.151542575189767
"Artemisia annua",1120617.16646256,38444.0983939354,0.0343061837213253
"Artemisia arborescens",869442.341185593,342099.306945661,0.393469803275471
"Artemisia austriaca",1497044.75376816,9520.18074968761,0.00635931606301327
"Artemisia campestris",5004095.86337519,76198.0848579799,0.015227143311876
"Artemisia dracunculus",3073634.84511037,18818.1453493161,0.00612244013931993
"Artemisia gmelinii",1181097.97284592,25167.4299748741,0.0213085032346909
"Artemisia latifolia",725563.019921892,66049.7879470544,0.0910324618723881
"Artemisia pontica",629024.521480783,50172.5941840615,0.079762540999118
"Artemisia rubripes",228712.786151447,3295.26763789392,0.0144078855115336
"Artemisia scoparia",1483653.312579,20466.9004423009,0.0137949346176593
"Artemisia stelleriana",480555.990403846,8687.7886678108,0.018078619019003
"Artemisia tanacetifolia",784439.335742092,1225.42990796387,0.00156217294585897
"Artemisia umbelliformis",160296.510693224,8636.03338755984,0.0538753672816217
"Arthraxon hispidus",462272.225476106,49919.3577585535,0.107986928496819
"Arthraxon lanceolatus",16540.1097450331,16478.0100216014,0.996245507170817
"Arthraxon lancifolius",38555.7198781556,3423.86003069725,0.0888029076234964
"Artocarpus gomezianus",26704.6823024064,0,0
"Arum italicum",2124166.76064157,1519.37448450619,0.000715280227832627
"Arum maculatum",1990973.24894804,41657.5793822062,0.0209232240584933
"Aruncus dioicus",3542498.83073718,442.539623073352,0.000124923011754745
"Arundina graminifolia",775886.817937673,9455.16700262651,0.0121862709663744
"Arundo donax",427980.37537654,93102.3560818995,0.217538843924765
"Asarina procumbens",130739.667709183,9634.81517527447,0.0736946585844635
"Asarum europaeum",3690507.9192553,106375.858094267,0.0288241782490831
"Asclepias tuberosa",4105572.41942569,208949.672812215,0.0508941632166957
"Asperugo procumbens",2825933.93052316,402013.408385883,0.142258601322452
"Asperula arvensis",1233836.69668334,301717.006919584,0.244535608100023
"Asperula orientalis",26347.5752868527,0,0
"Asphodelus albus",946086.753714924,14684.3738242276,0.0155211705127121
"Asphodelus fistulosus",891829.700611046,4114.86483149475,0.00461395805575371
"Asphodelus tenuifolius",384571.401241877,0,0
"Asplenium ceterach",2755568.27653004,234715.87405071,0.0851787546147381
"Asplenium polyodon",360644.027706824,2953.1736654278,0.00818861103622242
"Asplenium ruta-muraria",3826684.180146,72219.8571679954,0.0188726985996634
"Asplenium scolopendrium",2956594.95394529,33275.9298127756,0.0112548151948823
"Aster altaicus",536174.184304074,11844.0894980664,0.0220900032951781
"Aster amellus",1956431.56158677,401781.701706632,0.205364557388742
"Aster tataricus",491639.219675569,23750.1499260634,0.0483080864495229
"Astragalus arenarius",328932.424283572,114273.421370176,0.347406983726423
"Astragalus chinensis",41009.2367326373,17420.3080754688,0.424789863538348
"Astragalus cicer",1824707.44536412,265141.452321325,0.145306280738289
"Astragalus contortuplicatus",88760.6082426559,6917.03255418453,0.0779290801531528
"Astragalus danicus",2077785.75872413,225268.974850059,0.108417806746537
"Astragalus falcatus",124037.756555976,27241.6322019527,0.219623709411893
"Astragalus glycyphyllos",4021602.19349537,189834.877158047,0.0472037929224054
"Astragalus hamosus",935546.561056222,0,0
"Astragalus onobrychis",1767967.62496908,55691.889686384,0.0315005144324167
"Astragalus sesameus",413573.616714555,0,0
"Astrantia major",1621735.2242907,87291.544417549,0.0538260149437944
"Athyrium filix-femina",6244484.56026784,24521.4672282891,0.00392690012948599
"Atocion armeria",1068212.28707307,330655.921766393,0.309541395252437
"Atriplex australasica",109736.170854027,63.7334593525381,0.000580788074310682
"Atriplex glauca",144218.814965361,0,0
"Atriplex hortensis",93508.8731764874,34650.9753046381,0.37056349977866
"Atriplex laciniata",335202.141468499,46326.2271622131,0.138203852037642
"Atriplex littoralis",735617.452034846,2264.1661443373,0.00307791249116538
"Atriplex longipes",203153.095361459,18561.4011169632,0.0913665680748696
"Atriplex oblongifolia",682691.523375813,1029.87478675492,0.00150855071652617
"Atriplex prostrata",3496946.8781782,41558.9964103825,0.0118843659506871
"Atriplex rosea",671544.718980431,13042.8416808428,0.0194221491319968
"Atriplex sagittata",1849705.07380029,0,0
"Aubrieta columnae",18361.956832014,0,0
"Aurinia petraea",2306.69129186662,0,0
"Aurinia saxatilis",915068.652221445,336033.296688838,0.367221952006633
"Aurinia sinuata",38561.2280599601,21571.9134662435,0.559419773475592
"Avena strigosa",295223.331218746,20515.102780783,0.0694901134544217
"Avenella flexuosa",4212804.37821111,28817.8286630278,0.0068405333065251
"Avenula pubescens",3335372.33881353,7875.14088106244,0.00236109797680453
"Avicennia marina",1033368.53594071,11332.617442074,0.0109666755353235
"Bacopa caroliniana",325127.83889005,0,0
"Bacopa monnieri",1955771.78738264,9953.0979969285,0.00508908966840578
"Baldellia ranunculoides",1294215.81857007,370947.811209224,0.28661974756194
"Bambusa vulgaris",116183.69544253,482.790165074776,0.00415540376156814
"Barbarea stricta",2017090.36639436,64807.5448443811,0.0321292223313859
"Barbarea verna",639221.894932384,32844.7705977832,0.0513824242538774
"Barbarea vulgaris",4083684.37366163,47.9958705360031,1.1753080342242e-05
"Barleria strigosa",102614.726219751,0,0
"Barringtonia asiatica",587448.874817528,31589.8415431232,0.0537746226051342
"Basella alba",780877.297620576,8223.28555385619,0.0105308293363291
"Basilicum polystachyon",587272.824232213,5134.79393618933,0.00874345572333003
"Bassia hyssopifolia",240109.649994693,0,0
"Bassia laniflora",316681.178328715,33189.3599791773,0.104803702431367
"Bassia scoparia",931216.189744466,25508.1392261692,0.0273922849571257
"Batis maritima",476998.164709074,300.408340572095,0.000629789300668101
"Bauhinia multinervia",2167.55297173166,0,0
"Beckmannia eruciformis",776151.979380271,0,0
"Begonia coccinea",40760.8695673986,40748.2642711507,0.999690750065401
"Bellevalia ciliata",15456.183591505,9718.54079013191,0.628780108142179
"Bellevalia romana",308315.300794065,0,0
"Bellevalia trifoliata",101688.36446254,38939.0438336434,0.382925264256638
"Berberis canadensis",95677.2616659568,95677.2616659565,0.999999999999997
"Berberis japonica",72727.4900160965,31813.0700822155,0.437428406716283
"Berberis vulgaris",3171804.94126139,2620.63380628115,0.000826227922212315
"Bergbambos tessellata",50018.9076303493,10285.1366922654,0.205624976224487
"Bergenia crassifolia",882274.827093893,109992.913467229,0.12466967218087
"Bergia capensis",16545.3854924016,5142.86200625192,0.310833616334522
"Bertholletia excelsa",284641.113022846,213545.150392854,0.750225953394562
"Berula erecta",2680128.49864244,231056.244178361,0.0862108829093073
"Betonica officinalis",4129021.35068978,53146.5922179825,0.012871474304463
"Bidens cernua",5849352.07299808,100355.918796657,0.017156758140773
"Bidens laevis",1118521.80782783,0,0
"Bidens radiata",1816350.91495887,96539.517979643,0.053150257026093
"Bidens subalternans",182916.199168573,349.449200607588,0.00191043331424977
"Bidens tripartita",5132966.89456139,10255.1183043904,0.00199789293697884
"Bifora radians",632302.186113126,33662.6763123429,0.05323827285696
"Bifora testiculata",527760.353889552,138207.902940354,0.261876251070723
"Bignonia aequinoctialis",279419.325860238,0,0
"Bistorta officinalis",3505974.94099608,49234.5224944589,0.0140430331999095
"Blackstonia perfoliata",1688959.2339817,88804.8334783111,0.0525796192658568
"Blechnum orientale",967319.510695818,482.790165074776,0.000499101030979404
"Blechnum spicant",2925148.99776623,33443.0759356754,0.0114329478468324
"Blechnum spinulosum",0,0,NA
"Blechnum zeelandicum",13862.1284250576,0,0
"Blitum bonus-henricus",1371406.1255434,456136.559639649,0.332605018414155
"Blitum capitatum",781338.065418132,5062.97090526355,0.00647987232332538
"Blitum virgatum",645317.064855215,192831.520298999,0.298816707012486
"Blyxa aubertii",195957.662294394,19984.4865165178,0.101983695266248
"Bocconia frutescens",565089.276210971,0,0
"Boerhavia diandra",1845218.63947143,5221.49354051488,0.00282974246456267
"Boerhavia diffusa",1865456.84326299,411.567638239311,0.000220625655171638
"Bolboschoenus maritimus",3302704.73238979,74110.087397399,0.0224392107083015
"Bolboschoenus planiculmis",896947.964495373,32615.8910433104,0.0363631919959373
"Bonamia semidigyna",6169.76688920071,0,0
"Bonnaya antipoda",567923.97259217,482.790165074776,0.000850096471313196
"Bontia daphnoides",17667.9168014648,6447.99270758504,0.364954894232379
"Borago officinalis",1791116.19985309,41316.153983098,0.0230672660916622
"Borago pygmaea",17479.6505315497,8355.26058354913,0.477999292289533
"Bouea oppositifolia",10001.3229758609,411.567638239311,0.0411513196036832
"Brachyglottis greyi",28456.4974858506,28197.0622337158,0.990883092613071
"Brachypodium sylvaticum",3848197.60810676,65798.0306084366,0.0170984022415647
"Brachypterum scandens",52734.5541402744,44283.7654323575,0.839748551102987
"Brasiliopuntia brasiliensis",369392.856466456,5909.16762573999,0.0159969732015556
"Brassica cretica",19763.0563267629,839.869120186508,0.0424969248834842
"Brassica elongata",403054.779352398,0,0
"Braya humilis",381438.418969327,56143.5974857984,0.147189152150699
"Briza media",3832921.60086505,388057.61187104,0.101243294875496
"Brosimum alicastrum",684349.060552481,0,0
"Bruguiera gymnorhiza",430554.064872937,6515.59176649305,0.0151330397227022
"Bruguiera sexangula",113913.907524809,411.567638239311,0.00361297094606008
"Brunnera sibirica",207666.284968964,65802.9144591851,0.316868549312276
"Bryonia alba",1017542.63979029,43522.6036698311,0.0427722652279231
"Buddleja curviflora",11939.9769266143,4986.40626847577,0.417622772566756
"Buddleja indica",11992.8356972148,1646.11408467464,0.137258120284007
"Buglossoides arvensis",3791768.7508377,71857.6920470847,0.0189509689986262
"Bulbostylis barbata",1416841.54354795,0,0
"Bulbostylis thouarsii",3969.44154740679,411.567638239311,0.103684015326586
"Bunias erucago",635582.431654552,16801.6101648059,0.0264349820385498
"Bunium bulbocastanum",704198.388498098,248340.21290088,0.352656604952669
"Buphthalmum salicifolium",875422.974358825,101312.338519355,0.11572958613927
"Bupleurum falcatum",1178301.98518312,15320.244761379,0.0130019680472642
"Bupleurum lancifolium",165780.545105015,0,0
"Bupleurum longifolium",286338.562885922,54067.0034680916,0.188821941841036
"Bupleurum odontites",38625.362115536,0,0
"Bupleurum rotundifolium",1615428.56686503,225984.537772876,0.139891383876807
"Bupleurum semicompositum",350183.527833062,0,0
"Bupleurum subovatum",392018.359185531,270348.402581117,0.689631993620913
"Bupleurum tenuissimum",829957.014982636,21557.3265094744,0.0259740277150684
"Bursera simaruba",1459057.80251898,0,0
"Butea monosperma",1078529.17592603,9303.29271059967,0.00862590731735358
"Butia capitata",7480.25429833054,7480.25429833054,1
"Butomus umbellatus",5414716.47651206,423215.854342452,0.0781602981759574
"Buxus balearica",62593.4892870551,0,0
"Buxus sempervirens",2361850.15982431,223489.597152015,0.0946247992161536
"Caldesia parnassifolia",228368.218599143,83349.5001119944,0.364978544839895
"Calendula arvensis",2218988.14391882,61942.8675028528,0.0279149159370717
"Calendula suffruticosa",116257.306553909,229.061964630424,0.00197030166464597
"Calepina irregularis",1500659.95649465,13415.5050346626,0.00893973679820145
"Calibrachoa parviflora",661793.468053657,534.689926238228,0.00080794077313993
"Calla palustris",5218877.2425152,705445.462320539,0.135171882675009
"Callirhoe alcaeoides",206660.281955957,16907.8141346015,0.0818145314357251
"Callisia repens",1101401.43368868,0,0
"Callistephus chinensis",57494.7152584377,953.6606018331,0.0165869262513331
"Callitriche brutia",1031412.6567529,15731.6531871535,0.0152525306764027
"Callitriche hamulata",1775776.30018193,18591.0277126345,0.0104692396844861
"Callitriche hermaphroditica",1119515.41992372,319227.835182373,0.285148225295659
"Callitriche stagnalis",2141765.81507892,30731.0208598766,0.0143484505371771
"Callitris oblonga",59774.7315456328,59581.8958253574,0.99677395924182
"Calluna vulgaris",5193831.16551523,178497.20885932,0.034367156569213
"Calophyllum inophyllum",536633.257060626,6067.17425408156,0.0113059974838573
"Calophyllum soulattri",128271.725995649,482.790165074776,0.00376380812940141
"Caltha palustris",11775110.4359244,138018.41248761,0.0117211989848123
"Calystegia soldanella",1101672.29730773,119352.086498627,0.108337194999184
"Camelina alyssum",443206.849053864,377738.225174481,0.852284268577659
"Camelina microcarpa",2597779.46276924,169701.971405893,0.0653257806669201
"Camelina rumelica",36574.4819327197,0,0
"Camelina sativa",484389.556476785,35962.019173307,0.0742419374911328
"Camellia japonica",404922.873421537,41794.4381318789,0.103215799539113
"Cameraria latifolia",34705.5854318474,0,0
"Camonea umbellata",1530477.15846489,0,0
"Camonea vitifolia",33420.5822268968,0,0
"Campanula bononiensis",1640392.70843063,185393.519700207,0.113017766262552
"Campanula cervicaria",1913771.30757496,714038.351448273,0.37310536981196
"Campanula cochleariifolia",497489.953284531,56604.1577388281,0.113779499194136
"Campanula erinus",1012808.7393401,442.539623073352,0.000436942934913548
"Campanula glomerata",6801117.35333897,299150.961292905,0.0439855608646481
"Campanula lanata",6661.25472808889,6649.63849352395,0.998256149173224
"Campanula latifolia",2682607.75020119,177746.070551834,0.0662586882254789
"Campanula patula",4381128.44244648,65394.3938465636,0.0149263813434437
"Campanula persicifolia",4286138.15416562,76284.9810742354,0.0177980686413702
"Campanula portenschlagiana",14488.8465015784,1248.59220943997,0.0861760947846298
"Campanula rapunculus",2415626.90907475,42969.5229133424,0.0177881454921369
"Campanula rotundifolia",5541743.65676328,354757.836581559,0.0640155623489737
"Campanula sibirica",2000969.99579566,80133.4878229263,0.0400473210449427
"Campanula trachelium",4133866.87258405,45758.1384822594,0.0110690885538015
"Canavalia gladiata",44705.6664693816,33366.9287495202,0.746369115699747
"Canavalia rosea",1198658.00155329,18682.0060663015,0.0155857684527966
"Canscora diffusa",246948.473053859,0,0
"Capsella bursa-pastoris",8444560.19518222,41698.9825643623,0.00493796972258572
"Capsella rubella",949538.541302333,18964.3301625271,0.0199721541966234
"Caragana frutex",863493.085689812,10603.4322774963,0.0122796956376618
"Caragana grandiflora",26145.3796393487,10482.716252318,0.400939531072693
"Caragana halodendron",239793.902357658,9966.70769093492,0.0415636410807033
"Cardamine africana",86219.9859075638,0,0
"Cardamine bulbifera",2192698.70237483,61449.1301875603,0.0280244294945799
"Cardamine chelidonia",90684.2811460398,11012.8929127324,0.121442137199026
"Cardamine flexuosa",2345001.67539773,54438.1986217161,0.0232145670482231
"Cardamine glanduligera",253788.259849931,19235.8519902529,0.0757948850810804
"Cardamine hirsuta",2990044.08562078,15684.8236708841,0.00524568308083247
"Cardamine impatiens",3101606.33979758,37648.1715889476,0.0121382817367483
"Cardamine macrophylla",975666.068741455,3221.16049465309,0.00330149894298177
"Cardamine parviflora",1314571.74914608,267391.08077096,0.203405467175643
"Cardamine pratensis",5242968.0499736,6039.37665645933,0.0011519003356295
"Cardamine quinquefolia",354130.719977323,64401.3414132074,0.18185753954735
"Cardamine trifolia",238292.374741334,93923.3457902261,0.394151704989216
"Cardiospermum halicacabum",2412734.47232616,482.790165074776,0.00020010082775885
"Carduus acanthoides",2984639.01735164,64162.5587571141,0.0214975943100977
"Carduus nutans",3956032.42834954,50755.7714179366,0.0128299684942451
"Carduus tenuiflorus",1374596.05335084,18055.3620798709,0.0131350312230691
"Carex acuta",4227871.095481,47001.5304059729,0.0111170679863468
"Carex acutiformis",2742010.45556317,34944.4051920513,0.0127440816723196
"Carex aquatilis",2676131.23598934,213985.856087268,0.0799608977353307
"Carex arenaria",894863.982134066,23978.2817063942,0.0267954484537538
"Carex argyi",2665.93478898428,2385.62699806525,0.894855721123688
"Carex bohemica",1014656.71364401,91957.5639953933,0.0906292372177185
"Carex brevior",366246.562127971,168113.950495498,0.459018507965562
"Carex brizoides",1102328.40220156,1630.70341355038,0.00147932631536442
"Carex buekii",108126.520394806,855.758931827463,0.00791442218525857
"Carex bushii",356082.238813826,158286.211311892,0.444521501098094
"Carex buxbaumii",1974084.89172521,93122.1664221555,0.0471723211157214
"Carex caryophyllea",2865321.52864278,26180.2149917943,0.00913692049219871
"Carex distans",2081655.09108172,397305.120402448,0.190860206431215
